matchID,seriesID,Versus,Game_number,gametime,isLastGame,playerID,playerName,teamID,teamName,position,heroID,heroName,kills,deaths,creep_score,gpm,madstone_collected,tower_kills,obs_placed,camps_stacked,runes_grabbed,watchers_taken,smokes_used,teamfight_participation,stuns,firstblood_claimed,roshan_kills,tormentor_kills,courier_kills,date
8948026518,1130934,Aurora Gaming vs BoomBoys,1,3512,0,256156323,Mira,9467224,Aurora Gaming,support,123,Hoodwink,642.0,585.0,456.0,658.0,65.0,0.0,1404.0,2106.0,705.0,1764.0,1172.0,1611.31,915.97,0.0,0.0,0.0,0.0,16/08/2026
8948026518,1130934,Aurora Gaming vs BoomBoys,1,3512,0,320219866,kaori,9467224,Aurora Gaming,support,64,Jakiro,428.0,-195.0,381.0,668.0,78.0,0.0,1404.0,234.0,1128.0,1323.0,1465.0,1538.07,905.34,1934.0,0.0,0.0,703.0,16/08/2026
8946416702,1130566,Aurora Gaming vs BoomBoys,2,2030,0,124801257,Nightfall,9467224,Aurora Gaming,core,67,Spectre,1284.0,1755.0,1089.0,1446.0,169.0,1408.0,117.0,702.0,423.0,0.0,0.0,1577.83,0.0,0.0,1172.0,879.0,703.0,15/08/2026
8946416702,1130566,Aurora Gaming vs BoomBoys,2,2030,0,126842529,Ws`,9467224,Aurora Gaming,core,36,Necrophos,749.0,1365.0,1287.0,1512.0,286.0,704.0,0.0,702.0,564.0,0.0,0.0,1213.71,91.33,0.0,0.0,0.0,0.0,15/08/2026
8946416702,1130566,Aurora Gaming vs BoomBoys,2,2030,0,172099728,Kiritych~,8255888,BoomBoys,core,21,Windranger,428.0,1170.0,891.0,1098.0,143.0,352.0,0.0,702.0,282.0,588.0,0.0,1699.2,321.66,0.0,1172.0,0.0,703.0,15/08/2026
8946416702,1130566,Aurora Gaming vs BoomBoys,2,2030,0,165564598,MieRo,8255888,BoomBoys,core,69,Doom,0.0,780.0,612.0,956.0,156.0,0.0,0.0,468.0,141.0,147.0,0.0,1486.8,120.67,0.0,0.0,0.0,0.0,15/08/2026
8948094765,1130934,Aurora Gaming vs BoomBoys,2,2244,0,124801257,Nightfall,9467224,Aurora Gaming,core,80,Lone Druid,428.0,1755.0,1518.0,1432.0,208.0,704.0,0.0,702.0,282.0,0.0,0.0,735.23,316.33,0.0,1172.0,0.0,1406.0,16/08/2026
8948094765,1130934,Aurora Gaming vs BoomBoys,2,2244,0,126842529,Ws`,9467224,Aurora Gaming,core,60,Night Stalker,749.0,1170.0,789.0,982.0,104.0,0.0,0.0,0.0,846.0,0.0,0.0,1960.62,18.0,0.0,0.0,879.0,703.0,16/08/2026
8948094765,1130934,Aurora Gaming vs BoomBoys,2,2244,0,172099728,Kiritych~,8255888,BoomBoys,core,91,Io,1070.0,1560.0,1596.0,1698.0,273.0,1760.0,0.0,2106.0,564.0,294.0,0.0,1569.91,16.0,0.0,1172.0,0.0,0.0,16/08/2026
8948094765,1130934,Aurora Gaming vs BoomBoys,2,2244,0,165564598,MieRo,8255888,BoomBoys,core,108,Underlord,107.0,1170.0,882.0,1124.0,169.0,0.0,0.0,936.0,564.0,294.0,0.0,1385.22,1480.65,0.0,0.0,0.0,0.0,16/08/2026
8946416702,1130566,Aurora Gaming vs BoomBoys,2,2030,0,301750126,Mikoto,9467224,Aurora Gaming,mid,107,Earth Spirit,642.0,1560.0,660.0,1150.0,65.0,0.0,351.0,234.0,1974.0,294.0,0.0,1335.09,147.0,0.0,1172.0,0.0,0.0,15/08/2026
8946416702,1130566,Aurora Gaming vs BoomBoys,2,2030,0,480412663,gpk~,8255888,BoomBoys,mid,28,Slardar,428.0,780.0,660.0,844.0,208.0,0.0,234.0,702.0,987.0,0.0,0.0,1911.6,412.66,0.0,0.0,0.0,0.0,15/08/2026
8948094765,1130934,Aurora Gaming vs BoomBoys,2,2244,0,301750126,Mikoto,9467224,Aurora Gaming,mid,106,Ember Spirit,856.0,780.0,855.0,1072.0,52.0,0.0,234.0,468.0,1410.0,0.0,0.0,1388.77,373.66,0.0,1172.0,0.0,0.0,16/08/2026
8948094765,1130934,Aurora Gaming vs BoomBoys,2,2244,0,480412663,gpk~,8255888,BoomBoys,mid,93,Slark,963.0,1560.0,768.0,1110.0,117.0,1056.0,117.0,0.0,282.0,294.0,0.0,1939.3,0.0,0.0,0.0,0.0,703.0,16/08/2026
8946416702,1130566,Aurora Gaming vs BoomBoys,2,2030,0,256156323,Mira,9467224,Aurora Gaming,support,123,Hoodwink,749.0,1560.0,138.0,710.0,39.0,0.0,702.0,702.0,141.0,1470.0,1172.0,1517.14,491.0,1934.0,0.0,0.0,0.0,15/08/2026
8946416702,1130566,Aurora Gaming vs BoomBoys,2,2030,0,320219866,kaori,9467224,Aurora Gaming,support,64,Jakiro,321.0,1560.0,123.0,626.0,13.0,0.0,819.0,234.0,141.0,1176.0,586.0,970.97,220.67,0.0,0.0,0.0,703.0,15/08/2026
8946416702,1130566,Aurora Gaming vs BoomBoys,2,2030,0,317880638,Save-,8255888,BoomBoys,support,131,Ringmaster,214.0,390.0,174.0,540.0,26.0,0.0,585.0,234.0,141.0,588.0,1172.0,1274.4,265.0,0.0,0.0,0.0,0.0,15/08/2026
8946416702,1130566,Aurora Gaming vs BoomBoys,2,2030,0,196878136,Kataomi`,8255888,BoomBoys,support,112,Winter Wyvern,0.0,-195.0,156.0,494.0,26.0,0.0,1053.0,702.0,282.0,588.0,293.0,1062.0,99.5,0.0,0.0,0.0,0.0,15/08/2026
8948094765,1130934,Aurora Gaming vs BoomBoys,2,2244,0,256156323,Mira,9467224,Aurora Gaming,support,123,Hoodwink,535.0,585.0,276.0,628.0,52.0,0.0,936.0,1170.0,705.0,2058.0,879.0,1470.46,332.33,1934.0,0.0,0.0,0.0,16/08/2026
8948094765,1130934,Aurora Gaming vs BoomBoys,2,2244,0,320219866,kaori,9467224,Aurora Gaming,support,85,Undying,214.0,975.0,123.0,578.0,26.0,0.0,819.0,0.0,141.0,1470.0,586.0,1388.77,0.0,0.0,0.0,0.0,0.0,16/08/2026
8948094765,1130934,Aurora Gaming vs BoomBoys,2,2244,0,317880638,Save-,8255888,BoomBoys,support,90,Keeper of the Light,321.0,780.0,318.0,786.0,26.0,0.0,585.0,702.0,141.0,294.0,879.0,1477.57,50.0,0.0,0.0,0.0,0.0,16/08/2026
8948094765,1130934,Aurora Gaming vs BoomBoys,2,2244,0,196878136,Kataomi`,8255888,BoomBoys,support,3,Bane,0.0,-390.0,81.0,528.0,0.0,0.0,1404.0,468.0,564.0,1176.0,879.0,554.09,744.0,0.0,0.0,0.0,0.0,16/08/2026
8943097729,1130047,Aurora Gaming vs GamerLegion,1,4369,0,206642367,Ghost,9964962,GamerLegion,core,21,Windranger,642.0,585.0,2388.0,1300.0,403.0,352.0,117.0,234.0,705.0,441.0,0.0,1089.23,525.0,1934.0,2344.0,0.0,0.0,13/08/2026
8943097729,1130047,Aurora Gaming vs GamerLegion,1,4369,0,160119017,Fayde,9964962,GamerLegion,core,155,Largo,642.0,975.0,2067.0,1298.0,338.0,1408.0,0.0,2340.0,705.0,294.0,0.0,1198.15,172.94,0.0,1172.0,0.0,0.0,13/08/2026
8943097729,1130047,Aurora Gaming vs GamerLegion,1,4369,0,124801257,Nightfall,9467224,Aurora Gaming,core,19,Tiny,1177.0,975.0,2286.0,1440.0,312.0,1760.0,0.0,234.0,1128.0,0.0,293.0,1346.93,592.02,0.0,0.0,879.0,703.0,13/08/2026
8943097729,1130047,Aurora Gaming vs GamerLegion,1,4369,0,126842529,Ws`,9467224,Aurora Gaming,core,98,Timbersaw,1284.0,585.0,2331.0,1530.0,234.0,352.0,117.0,1404.0,564.0,735.0,0.0,1346.93,312.66,0.0,1172.0,0.0,703.0,13/08/2026
